id,twi_acc,twi_id,retwi,fav,desc,imgurl
26,"artistklee",914872249844486144,9,21,Abstraction with Reference to a Flowering Tree #fineart #arthistory https://t.co/rKFYl4N7vZ,https://pbs.twimg.com/media/DLJHdhHXoAEpz5M.jpg
27,"artistklee",914871011966844929,1,0,Victor Brauner @artistbrauner #followart #artontwitter https://t.co/Adw3BBjfi3,https://pbs.twimg.com/media/DLJGVRlWsAEU2Hk.jpg
28,"artistklee",914767054301011968,16,24,The Lamb #paulklee #klee https://t.co/sjB2VNLEw9,https://pbs.twimg.com/media/DLHnyWWXkAA6B7C.jpg
29,"artistklee",914737041568657408,5,0,RT @artist_dali: The Palace of the Wind #fineart #dali https://t.co/KTfFvhlUEv,https://pbs.twimg.com/media/DLGvnqNWkAA_KzM.jpg
30,"artistklee",914732065509265408,2,2,Evening shows #surrealism #paulklee https://t.co/PoI9HfSICQ,https://pbs.twimg.com/media/DLHH9zGWsAA2Kt7.jpg
31,"artistklee",914612195253682176,3,3,The singer L as Fioridigli #klee #fineart https://t.co/kASBBSrcTr,https://pbs.twimg.com/media/DLFa8cSXUAAezcT.jpg
32,"artistklee",914599765056393216,13,17,Neuer Stadtteil in M #fineart #klee https://t.co/KtVcScqZhM,https://pbs.twimg.com/media/DLFPoz2W4AEDNvm.jpg
33,"artistklee",914555786189316097,13,16,Transparent in perspective Grooved #paulklee #arthistory https://t.co/fVXTA9mprj,https://pbs.twimg.com/media/DLEno5XWsAUXsW0.jpg
34,"artistklee",914552280682307585,6,6,Landscape with Yellow Birds #expressionism #arthistory https://t.co/eB15LFS8jT,https://pbs.twimg.com/media/DLEkc74XoAEAbXF.jpg
35,"artistklee",914547380099395586,1,4,With the Egg https://t.co/lUmO5BUmBT #fineart #klee https://t.co/TUchjx4CTO,https://pbs.twimg.com/media/DLEf_pAWAAEqrX1.jpg
36,"artistklee",914534603750330370,3,7,Red Balloon https://t.co/aMekKIxoqA #cubism #fineart https://t.co/N8TgZga6FO,https://pbs.twimg.com/media/DLEUX9jXcAELQyv.jpg
37,"artistklee",914532258383581184,2,0,RT @artistkandinsky: Gloomy Situation #fineart #kandinsky https://t.co/u6nbr7PngK,https://pbs.twimg.com/media/DK56xMDXoAAeizM.jpg
38,"artistklee",914532237986746370,2,6,Architecture of the Plain https://t.co/JA5aGVKMJk #fineart #wallart https://t.co/8f3why0prq,https://pbs.twimg.com/media/DLESORSWkAAVIGr.jpg
39,"artistklee",914520188187488256,5,6,Angel Still Feminine #paulklee #expressionism https://t.co/vOqszXm9Qy,https://pbs.twimg.com/media/DLEHQ3cXcAEeq_c.jpg
40,"artistklee",914372679297323009,14,23,Separation in the Evening #abstractart #fineart https://t.co/fsWl2oWGLk,https://pbs.twimg.com/media/DLCBGxrWkAEbInh.jpg
41,"artistklee",914358976925585409,5,0,RT @artistmagritte: The Castle of the Pyrenees #arthistory #surrealism https://t.co/YfQrwNmXkB,https://pbs.twimg.com/media/DKgdw0aWkAABC5R.jpg
42,"artistklee",914312783499579392,6,4,The lover #fineart #expressionism https://t.co/R8BaOf5rw6,https://pbs.twimg.com/media/DLBKoXqWsAAFBPQ.jpg
43,"artistklee",914264617274265602,5,0,RT @artjawlensky: Sitzende Frau #jawlensky #expressionism https://t.co/GmVP3gMMBx,https://pbs.twimg.com/media/DKw2AjeWsAAwlpa.jpg
44,"artistklee",914218507956563968,12,12,The Travelling Circus #arthistory #surrealism https://t.co/vMrexikloD,https://pbs.twimg.com/media/DK_04y2XcAAihGe.jpg
45,"artistklee",914179520785190915,2,6,Pious northern landscape https://t.co/Oq5pepFEBU #fineart #arthistory https://t.co/P9r6rOZEQq,https://pbs.twimg.com/media/DK_RbbgXoAEU2SH.jpg
46,"artistklee",914179516200824833,13,19,Southern gardens #fineart #arthistory https://t.co/MB1HRmyR0m,https://pbs.twimg.com/media/DK_RbJuWsAA68SL.jpg
47,"artistklee",914173483114024960,5,14,Strong Dream https://t.co/b0qq6N6MSM #fineart #wallart https://t.co/f776qegmVn,https://pbs.twimg.com/media/DK_L8BcX0AEYsoS.jpg
48,"artistklee",914150017199419392,0,1,Phenix https://t.co/HrRjm45gJY #arthistory #paulklee https://t.co/54tEwXxeJP,https://pbs.twimg.com/media/DK-2mGvXcAEi6O6.jpg
49,"artistklee",914148699999227904,1,0,August Macke @mackeaugust #followart #augustmacke https://t.co/jp58r2lw9a,https://pbs.twimg.com/media/DK-1YqLVAAEdY40.jpg
50,"artistklee",914146692257271809,16,0,RT @artistkandinsky: Interior (My dining room) #vasilykandinsky #expressionism https://t.co/C4d50m0iQY,https://pbs.twimg.com/media/DKxGXgOX0AEpLco.jpg
51,"artistklee",914145647867170816,5,6,Southern (Tunisian) gardens #arthistory #paulklee https://t.co/SCZUmNkHkG,https://pbs.twimg.com/media/DK-ynxaWsAUWXs8.jpg
52,"artistklee",914098209751994368,4,10,Before the Blitz #arthistory #expressionism https://t.co/P1xoOu9g15,https://pbs.twimg.com/media/DK-Heg6WsAAw-wk.jpg
53,"artistklee",914009651771056128,2,0,RT @artistbecker: Portrait of an approximately 12-year-old Italian girl #expressionism #arteducation https://t.co/2sqVsUZrIp,https://pbs.twimg.com/media/DK1lARDXkAAj7P9.jpg
54,"artistklee",914007452198285312,3,7,The column #paulklee #klee https://t.co/mJG2IoWND3,https://pbs.twimg.com/media/DK807uIXcAAr-3T.jpg
55,"artistklee",913967551851515904,35,0,"RT @artsy: Artist recipes, from Dalí’s avocado toast to Ed Ruscha’s cactus omelette: https://t.co/LQBDTf15It https://t.co/ThAGZegsBE",https://pbs.twimg.com/media/DK0jvFyU8AAohe-.jpg
56,"artistklee",913946825249390592,9,8,Heroic Fiddling #fineart #arthistory https://t.co/eFff4kNYO0,https://pbs.twimg.com/media/DK79ysbW4AE0KDB.jpg
57,"artistklee",913887407229030400,6,0,RT @artistbrauner: The Turning Point of Thirst #brauner #surrealism https://t.co/fg3hHP3rAx,https://pbs.twimg.com/media/DK3rWEEXoAA3740.jpg
58,"artistklee",913862109313761282,5,15,Women in their Sunday best #expressionism #klee https://t.co/iMRvtuZ660,https://pbs.twimg.com/media/DK6wvrhXUAAnU9f.jpg
59,"artistklee",913827336738484224,1,0,RT @ArtistManRay: Shakespearean Equation: King Lear #surrealism #manray https://t.co/u853s7GNNT,https://pbs.twimg.com/media/DKw4F8mXkAApp0n.jpg
60,"artistklee",913827146736586752,7,11,#arthistory #paulklee https://t.co/D4Rrbo7hiQ,https://pbs.twimg.com/media/DK6Q78wWkAA8Hmz.jpg
61,"artistklee",913803005597749248,3,11,Crystalline Landscape https://t.co/iYy2urwZhJ #fineart #klee https://t.co/3VIUanpCwB,https://pbs.twimg.com/media/DK56_V4WAAAdIWL.jpg
62,"artistklee",913802685434023936,4,14,Colour Shapes #abstractart #paulklee https://t.co/ZNFJrGveyN,https://pbs.twimg.com/media/DK56srKW0AEUcA6.jpg
63,"artistklee",913798806944264193,1,5,Park Bei Lu #expressionism #fineart https://t.co/dCTjWAFobi,https://pbs.twimg.com/media/DK53LAYXUAAxHKx.jpg
64,"artistklee",913788219514327040,8,10,In the Style of Kairouan https://t.co/ReNCGEIjML #paulklee #fineart https://t.co/HqUHoQMWNF,https://pbs.twimg.com/media/DK5tivsXcAAS38A.jpg
65,"artistklee",913721942355664896,5,11,Senecio #paulklee #fineart https://t.co/cuJzCmeXKE,https://pbs.twimg.com/media/DK4xQ02XkAAANJP.jpg
66,"artistklee",913650505959841793,7,17,Cat and Bird #klee #paulklee https://t.co/wdSgYLZnxt,https://pbs.twimg.com/media/DK3wSsnWAAA9URI.jpg
67,"artistklee",913590308453183489,5,11,Forest Witch #fineart #expressionism https://t.co/pbxOzoNqD0,https://pbs.twimg.com/media/DK25izcXoAUtQ6Z.jpg
68,"artistklee",913539297097199616,4,0,RT @mackeaugust: Parkway #expressionism #macke https://t.co/rXm4nSplvV,https://pbs.twimg.com/media/DKsjY7mXcAADkSU.jpg
69,"artistklee",913513040661884929,9,16,An allegory of propaganda #paulklee #fineart https://t.co/L5wdFnF85j,https://pbs.twimg.com/media/DK1zRMUXcAA3XYM.jpg
70,"artistklee",913453931321315330,11,10,Rhythmic (Rythmical) #arthistory #klee https://t.co/RT5bZFmiyY,https://pbs.twimg.com/media/DK09gjoXoAAsLCS.jpg
71,"artistklee",913451564806868992,3,9,The Travelling Circus https://t.co/LRclYL72Lb #klee #arthistory https://t.co/TQtzGmGnP5,https://pbs.twimg.com/media/DK07W0rX0AA5f-o.jpg
72,"artistklee",913440855704375303,5,6,Franz Marc @franzmarcart #fineart #franzmarc https://t.co/oLQ6sEzBN2,https://pbs.twimg.com/media/DK0xnGzWsAAnb-1.jpg
73,"artistklee",913436968612179973,8,0,RT @artisfridakahlo: Self Portrait with Necklace of Thorns #frida #naïveart https://t.co/uRo8p5Taiw,https://pbs.twimg.com/media/DKheCihW4AEuziT.jpg
74,"artistklee",913426290165809154,6,9,Captive #paulklee #arthistory https://t.co/zR2WJ7eW8o,https://pbs.twimg.com/media/DK0kXp1WAAANR-3.jpg
75,"artistklee",913424752370487297,3,5,Hamamet https://t.co/V4qIjLtbia #abstractart #paulklee https://t.co/G6NGt0MXmQ,https://pbs.twimg.com/media/DK0i-J7XcAAVIA0.jpg
76,"artistklee",913418174661632000,1,4,Woman in Peasant Dress https://t.co/qDT44yJrGV #klee #fineart https://t.co/tAGZiBHPng,https://pbs.twimg.com/media/DK0c_M4XkAADjAa.jpg
77,"artistklee",913357809600868352,18,22,Glass Facade #klee #fineart https://t.co/pCbepx5cRe,https://pbs.twimg.com/media/DKzmFk3W4AAT5xJ.jpg
78,"artistklee",913274295647899650,6,5,Death and fire #klee #expressionism https://t.co/vlhFdO78gq,https://pbs.twimg.com/media/DKyaIYaWAAAwMAs.jpg
80,"artistklee",913209012509970432,203,0,RT @brainpicker: Salvador Dalis rare 1969 illustrations for Alice in Wonderland https://t.co/Ly4IrdbtD3 https://t.co/zxZswZiEoM,https://pbs.twimg.com/media/DKwC5abXoA0wLrM.jpg
81,"artistklee",913181527676276739,1,4,WI (In Memoriam) #klee #fineart https://t.co/kdIgrPVYHe,https://pbs.twimg.com/media/DKxFwkwXUAAt_ja.jpg
82,"artistklee",913137368437284867,12,21,Womens Pavilion #expressionism #paulklee https://t.co/B2nnvMylZj,https://pbs.twimg.com/media/DKwdmJgXkAAzGq_.jpg
83,"artistklee",913087653297491969,8,21,Legend of the Nile #klee #arthistory https://t.co/pV9vQcY6lf,https://pbs.twimg.com/media/DKvwYZzXUAMo_bV.jpg
84,"artistklee",913071039231471618,9,17,Struck from the List #arthistory #fineart https://t.co/CBiDDFvvWe,https://pbs.twimg.com/media/DKvhRUgX0AAoasE.jpg
85,"artistklee",912972501868826625,8,13,Sparse foliage #arthistory #fineart https://t.co/K4kIb3vA3c,https://pbs.twimg.com/media/DKuHpsaW4AAM81l.jpg
86,"artistklee",912904687506030595,2,0,RT @artist_dali: Untitled (The Lady of Avignon) #salvadordali #abstractart https://t.co/KEtdhDvWsa,https://pbs.twimg.com/media/DKlu2MFXkAEcQbk.jpg
87,"artistklee",912895783955046406,6,6,Castle Garden #fineart #cubism https://t.co/J2oFKDcptU,https://pbs.twimg.com/media/DKtB4JWXoAAdkEY.jpg
88,"artistklee",912802430324297730,4,0,RT @artistmasson: Blue Vase #andremasson #surrealism https://t.co/0GUtfXXndb,https://pbs.twimg.com/media/DKnzVR-XoAAFEkc.jpg
89,"artistklee",912791861185609734,15,21,Castle and Sun #arthistory #klee https://t.co/1drGPgJYL8,https://pbs.twimg.com/media/DKrjXBqW0AExG9j.jpg
90,"artistklee",912786669421694979,8,9,Little Tree Amid Shrubbery #fineart #paulklee https://t.co/kwL39YmhNt,https://pbs.twimg.com/media/DKreozpWAAEjGUT.jpg
91,"artistklee",912746671494385667,2,8,Clouds over Bor #klee #paulklee https://t.co/CEgZmYXHZc,https://pbs.twimg.com/media/DKq6QpCW4AAJFY7.jpg
92,"artistklee",912746568889102337,3,0,RT @artmodigliani: Portrait of Oscar Miestchanioff #fineart #expressionism https://t.co/IJeyWiHWvl,https://pbs.twimg.com/media/DKQoiVfXkAAQ7-V.jpg
93,"artistklee",912726000668168192,3,5,Siblings #arthistory #fineart https://t.co/tm1NLqHraq,https://pbs.twimg.com/media/DKqndanXkAASepa.jpg
94,"artistklee",912725697478692864,0,5,Victor Brauner @artistbrauner #arthistory #victorbrauner https://t.co/x5VgyQ8l0n,https://pbs.twimg.com/media/DKqnLiyXcAgkQpy.jpg
95,"artistklee",912724313530359809,1,1,Monument https://t.co/oJH6h3ckBT #fineart #wallart https://t.co/UsNTCQrkaZ,https://pbs.twimg.com/media/DKql7P8WAAAhR_c.jpg
96,"artistklee",912715179070312451,0,1,The singer L as Fioridigli https://t.co/XggsMw23iU #klee #paulklee https://t.co/SMMzYNhkAK,https://pbs.twimg.com/media/DKqdniSXcAE1_Kl.jpg
97,"artistklee",912709881416835074,0,0,In the current six thresholds https://t.co/ejlOXBet9Y #paulklee #fineart https://t.co/DJhNQgcUng,https://pbs.twimg.com/media/DKqYzK0XkAAidOM.jpg
98,"artistklee",912651039458959360,5,8,The Future Man #paulklee #klee https://t.co/IXqRRi2ScP,https://pbs.twimg.com/media/DKpjSIaXoAE-rct.jpg
99,"artistklee",912544964567031808,4,12,Summer houses #klee #paulklee https://t.co/rFyvzw9VpX,https://pbs.twimg.com/media/DKoCzwCX0AALWTT.jpg
100,"artistklee",912453027465977856,27,38,Aroundfish #klee #surrealism https://t.co/EeO0TLH63l,https://pbs.twimg.com/media/DKmvMRKXUAIOUSo.jpg
101,"artistklee",915854048217137152,6,5,Fish Image #arthistory #fineart https://t.co/IAYCTCNt8v,https://pbs.twimg.com/media/DLXEZyyXkAELbMP.jpg
102,"artistklee",915821865448476672,0,6,Still Life with Dove #arthistory #klee https://t.co/90uCAhS9FI,https://pbs.twimg.com/media/DLWnIfcX0AAndnt.jpg
103,"artistklee",915789794369839104,5,0,RT @artistschiele: Levitation #egonschiele #expressionism https://t.co/hVaZU6knlG,https://pbs.twimg.com/media/DLSysbYXoAAaJlr.jpg
201,"artistmagritte",915683402849902592,0,6,The man of the sea #renemagritte #magritte https://t.co/ouMNIUNs7v,https://pbs.twimg.com/media/DLUpM5VW4AEMAnI.jpg
202,"artistmagritte",915675746919747584,1,3,The clearing #surrealism #arthistory https://t.co/1F7kwUPUV1,https://pbs.twimg.com/media/DLUiPP8WAAAFDLE.jpg
203,"artistmagritte",915671346696396800,7,7,The Listening Room #renemagritte #magritte https://t.co/p5eOYADPy9,https://pbs.twimg.com/media/DLUePLKXoAEJrvJ.jpg
204,"artistmagritte",915669069126303747,4,0,RT @artisternst: Epiphany #ernst #fineart https://t.co/KrAZ7zJ4On,https://pbs.twimg.com/media/DLJKCcPXUAUCaG2.jpg
205,"artistmagritte",915645923488882689,0,1,The Return of the Flame #arthistory #fineart https://t.co/f9hQEqTSN3,https://pbs.twimg.com/media/DLUHHQ9W4A8SI-3.jpg
206,"artistmagritte",915643172147142656,1,2,Unexpected answer https://t.co/AaMKyiFKUY #renemagritte #fineart https://t.co/NxuQDWto6C,https://pbs.twimg.com/media/DLUEnLMW4As93sW.jpg
207,"artistmagritte",915630275010469888,1,1,The Eternal Evidence #surrealism #arthistory https://t.co/ASEPKEPJzN,https://pbs.twimg.com/media/DLT44amW4AAkm2b.jpg
208,"artistmagritte",915627947737919488,8,0,RT @artistbrauner: Paysage #brauner #naïveart https://t.co/gn3nwPvqDX,https://pbs.twimg.com/media/DK6GN7WX0AAvR9L.jpg
209,"artistmagritte",915625652316930048,0,0,Force of habit #surrealism #arthistory https://t.co/2KgxJ0wNxV,https://pbs.twimg.com/media/DLT0rYcXoAAAXrt.jpg
210,"artistmagritte",915624711803080707,0,0,The natural graces https://t.co/TDJsZHOQno #magritte #arthistory https://t.co/HM5ZYCx0ad,https://pbs.twimg.com/media/DLTz0nWWsAYlDGG.jpg
211,"artistmagritte",915623254383108096,15,0,RT @artistvaro: Exploring River of The Source Orinonoco #fineart #surrealism https://t.co/ismKvzeYoB,https://pbs.twimg.com/media/DKyGzV0XcAAlynn.jpg
212,"artistmagritte",915594946375188481,1,4,The song of love https://t.co/qhCjO4bnOq #arthistory #magritte https://t.co/ynfE0Tt11X,https://pbs.twimg.com/media/DLTYwEzXkAE-W-z.jpg
213,"artistmagritte",915540017648472064,0,2,The forest #surrealism #arthistory https://t.co/nXaMmF5GKd,https://pbs.twimg.com/media/DLSmywlXkAAN9-Y.jpg
214,"artistmagritte",915488004881428482,9,18,The double secret #arthistory #fineart https://t.co/5MdrSta8nE,https://pbs.twimg.com/media/DLR3fRHXUAAOKMs.jpg
215,"artistmagritte",915486733696946176,5,0,RT @artistdechirico: The Nostalgia of the Infinite #arthistory #chirico https://t.co/VXUzRjan99,https://pbs.twimg.com/media/DLAJCRQXUAAy-wb.jpg
216,"artistmagritte",915443453227667456,12,26,The heartstrings #arthistory #fineart https://t.co/U1Ml65cB78,https://pbs.twimg.com/media/DLRO-A8XcAAEUwH.jpg
217,"artistmagritte",915433094844428290,4,8,The good season #surrealism #arthistory https://t.co/d3cLGustiZ,https://pbs.twimg.com/media/DLRFjArW4AAgFCv.jpg
218,"artistmagritte",915426531207467009,2,3,The staging post #fineart #magritte https://t.co/rsVVtBVpIR,https://pbs.twimg.com/media/DLQ_lAJXUAAOZZr.jpg
219,"artistmagritte",915351856766996480,10,23,High Society #arthistory #renemagritte https://t.co/pPDDhlAbic,https://pbs.twimg.com/media/DLP7qYYX0AI0_o0.jpg
220,"artistmagritte",915337046008451072,2,8,The Perfume of the Abyss #magritte #arthistory https://t.co/1Oy8ewS67A,https://pbs.twimg.com/media/DLPuMO7XUAAg-fn.jpg
221,"artistmagritte",915328502190280706,20,37,The Lovers #fineart #surrealism https://t.co/8thOY7g8Wi,https://pbs.twimg.com/media/DLPma-VWsAE_0PL.jpg
222,"artistmagritte",915280886446338048,0,5,Donna #fineart #cubism https://t.co/9lMtNNcauL,https://pbs.twimg.com/media/DLO7HU7W4AEWrpW.jpg
223,"artistmagritte",915231678330793986,9,14,The kings museum #surrealism #fineart https://t.co/fNMTS1rwLG,https://pbs.twimg.com/media/DLOOXC4WAAAmCJS.jpg
224,"artistmagritte",915230018686668801,8,13,The empire of lights #arthistory #surrealism https://t.co/i1ZzR6oOBA,https://pbs.twimg.com/media/DLOM2e5XkAAw02F.jpg
225,"artistmagritte",915155510164430848,3,5,The Acrobats Exercises #fineart #magritte https://t.co/NscpZ4bqsH,https://pbs.twimg.com/media/DLNJFh9W0AA1PL5.jpg
226,"artistmagritte",915125399310553088,16,17,The anger of gods #fineart #renemagritte https://t.co/64LaktcfpA,https://pbs.twimg.com/media/DLMts0PXUAAW3mw.jpg
227,"artistmagritte",915101831436611585,2,2,Prince charming #renemagritte #arthistory https://t.co/QT809AxIqn,https://pbs.twimg.com/media/DLMYQ98XcAABb1t.jpg
228,"artistmagritte",915094388069498880,1,8,Self portrait #cubism #renemagritte https://t.co/qOBp2UvyPy,https://pbs.twimg.com/media/DLMRfv5W4AE6EmO.jpg
229,"artistmagritte",915079873273778176,3,0,RT @artistmasson: The Genius of the Species #fineart #surrealism https://t.co/eklPN1Y1fn,https://pbs.twimg.com/media/DLAFuwbWkAE--6U.jpg
230,"artistmagritte",915079701391134720,1,8,Forest of Paimpont #surrealism #magritte https://t.co/TXBF2sB717,https://pbs.twimg.com/media/DLMEI3HWAAE9pw6.jpg
231,"artistmagritte",914994025026990080,6,0,RT @artisternst: The gray forest #maxernst #fineart https://t.co/YN6NaTusPL,https://pbs.twimg.com/media/DLEocNaX0AAOp2L.jpg
232,"artistmagritte",914993780100681733,13,26,A storm #renemagritte #arthistory https://t.co/mP6dRFNkI6,https://pbs.twimg.com/media/DLK1_k_WAAAl67b.jpg
233,"artistmagritte",914945546690940929,1,3,The pipe #magritte #fineart https://t.co/Jx416zQecO,https://pbs.twimg.com/media/DLKKIBjXcAIwOu1.jpg
234,"artistmagritte",914945165906862080,0,2,The living mirror #arthistory #fineart https://t.co/ye0nX3Ldft,https://pbs.twimg.com/media/DLKJx2NXkAEpGQh.jpg
235,"artistmagritte",914916831755948033,1,5,Cicero https://t.co/RYkYgUkWQn #arthistory #fineart https://t.co/R02dWMrbmo,https://pbs.twimg.com/media/DLJwAmPXkAA8s9o.jpg
236,"artistmagritte",914916612762988545,0,2,Giorgio de Chirico @artistdechirico #artontwitter #followart https://t.co/acy0mrdgw8,https://pbs.twimg.com/media/DLJvzaOXUAQPppp.jpg
237,"artistmagritte",914905496825548801,3,12,The empty mask #magritte #renemagritte https://t.co/V0enqAcsdy,https://pbs.twimg.com/media/DLJlszXXkAAYGMn.jpg
238,"artistmagritte",914902288589889536,2,7,The Battle of the Argonne #surrealism #renemagritte https://t.co/a7OneOTAOg,https://pbs.twimg.com/media/DLJiyDUWsAAnumh.jpg
239,"artistmagritte",914899443119423488,1,1,Georgette at the Piano https://t.co/Jn2OCgsMij #arthistory #magritte https://t.co/UNPTkGABGq,https://pbs.twimg.com/media/DLJgMdOXkAISkk_.jpg
240,"artistmagritte",914898975702097920,2,2,#magritte #arthistory https://t.co/K8AgTb8CWA,https://pbs.twimg.com/media/DLJfw2fX0AAPv9h.jpg
241,"artistmagritte",914886315098992640,5,0,RT @artistdechirico: Plaza Italia (Great Game) #metaphysicalart #arthistory https://t.co/p5rqZGLxv6,https://pbs.twimg.com/media/DLBmT69WsAA3IjS.jpg
242,"artistmagritte",914885409494138881,0,2,The maimed #surrealism #magritte https://t.co/a6ijnufnCd,https://pbs.twimg.com/media/DLJTbi7XUAA6TD9.jpg
243,"artistmagritte",914814702290706432,5,0,RT @artistdechirico: Metaphysical Interior of studio #giorgiodechirico #arthistory https://t.co/gx07g2mkot,https://pbs.twimg.com/media/DLG65lXXoAEou8M.jpg
244,"artistmagritte",914797990090551297,2,13,Manets Balcony #surrealism #fineart https://t.co/qx6YArE0Bm,https://pbs.twimg.com/media/DLID7EgXkAA4VsO.jpg
245,"artistmagritte",914764919349956608,1,4,The fine idea #magritte #arthistory https://t.co/A5CQt3LeGa,https://pbs.twimg.com/media/DLHl2IqXcAApara.jpg
246,"artistmagritte",914738818435178496,7,11,The drop of water #fineart #arthistory https://t.co/KGjN42T3e9,https://pbs.twimg.com/media/DLHOG1TXoAIgPow.jpg
247,"artistmagritte",914723650464616450,2,7,The promise #surrealism #magritte https://t.co/bxZAl2RPay,https://pbs.twimg.com/media/DLHAT80WkAAurct.jpg
248,"artistmagritte",914718062695329793,0,3,Where Euclide walked #renemagritte #arthistory https://t.co/T0JfsOGkSC,https://pbs.twimg.com/media/DLG7Os9XkAUlYiO.jpg
249,"artistmagritte",914704868430024705,5,0,RT @ArtistManRay: Lee Miller #fineart #manray https://t.co/yHIe5DFNEV,https://pbs.twimg.com/media/DK_clGCWsAAyNni.jpg
250,"artistmagritte",914675725273325568,1,6,The ignorant fairy #arthistory #renemagritte https://t.co/kfSa1BADXq,https://pbs.twimg.com/media/DLGUuYVW4AUMQgB.jpg
251,"artistmagritte",914631148009132033,8,13,The happy hand #arthistory #renemagritte https://t.co/Prdr7tVpER,https://pbs.twimg.com/media/DLFsLobWsAECosz.jpg
